Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,CGPOWER,35806,OPTSTK,CE,770,CG POWER AND IND SOL LTD,CGPOWER MAR 770 CE,CGPOWER30MAR26C770,2026-03-30,850,0.05
NFO,nse_fo,CGPOWER,35807,OPTSTK,PE,770,CG POWER AND IND SOL LTD,CGPOWER MAR 770 PE,CGPOWER30MAR26P770,2026-03-30,850,0.05
NFO,nse_fo,CGPOWER,35808,OPTSTK,CE,790,CG POWER AND IND SOL LTD,CGPOWER MAR 790 CE,CGPOWER30MAR26C790,2026-03-30,850,0.05
NFO,nse_fo,CGPOWER,35809,OPTSTK,PE,790,CG POWER AND IND SOL LTD,CGPOWER MAR 790 PE,CGPOWER30MAR26P790,2026-03-30,850,0.05
NFO,nse_fo,CGPOWER,35812,OPTSTK,CE,740,CG POWER AND IND SOL LTD,CGPOWER APR 740 CE,CGPOWER28APR26C740,2026-04-28,850,0.05
NFO,nse_fo,CGPOWER,35813,OPTSTK,PE,740,CG POWER AND IND SOL LTD,CGPOWER APR 740 PE,CGPOWER28APR26P740,2026-04-28,850,0.05
NFO,nse_fo,HINDPETRO,35822,OPTSTK,CE,290,HINDUSTAN PETROLEUM CORP,HINDPETRO MAY 290 CE,HINDPETRO26MAY26C290,2026-05-26,2025,0.05
NFO,nse_fo,HINDPETRO,35823,OPTSTK,PE,290,HINDUSTAN PETROLEUM CORP,HINDPETRO MAY 290 PE,HINDPETRO26MAY26P290,2026-05-26,2025,0.05
NFO,nse_fo,COALINDIA,35874,OPTSTK,CE,517.5,COAL INDIA LTD,COALINDIA MAR 517.5 CE,COALINDIA30MAR26C517.5,2026-03-30,1350,0.05
NFO,nse_fo,COALINDIA,35875,OPTSTK,PE,517.5,COAL INDIA LTD,COALINDIA MAR 517.5 PE,COALINDIA30MAR26P517.5,2026-03-30,1350,0.05
NFO,nse_fo,COALINDIA,35876,OPTSTK,CE,522.5,COAL INDIA LTD,COALINDIA MAR 522.5 CE,COALINDIA30MAR26C522.5,2026-03-30,1350,0.05
NFO,nse_fo,COALINDIA,35877,OPTSTK,PE,522.5,COAL INDIA LTD,COALINDIA MAR 522.5 PE,COALINDIA30MAR26P522.5,2026-03-30,1350,0.05
NFO,nse_fo,COALINDIA,35878,OPTSTK,CE,527.5,COAL INDIA LTD,COALINDIA MAR 527.5 CE,COALINDIA30MAR26C527.5,2026-03-30,1350,0.05
NFO,nse_fo,COALINDIA,35879,OPTSTK,PE,527.5,COAL INDIA LTD,COALINDIA MAR 527.5 PE,COALINDIA30MAR26P527.5,2026-03-30,1350,0.05
NFO,nse_fo,IEX,35901,OPTSTK,PE,170,INDIAN ENERGY EXC LTD,IEX MAR 170 PE,IEX30MAR26P170,2026-03-30,3750,0.01
NFO,nse_fo,COALINDIA,35904,OPTSTK,CE,525,COAL INDIA LTD,COALINDIA APR 525 CE,COALINDIA28APR26C525,2026-04-28,1350,0.05
NFO,nse_fo,COALINDIA,35905,OPTSTK,PE,525,COAL INDIA LTD,COALINDIA APR 525 PE,COALINDIA28APR26P525,2026-04-28,1350,0.05
NFO,nse_fo,COALINDIA,35906,OPTSTK,CE,535,COAL INDIA LTD,COALINDIA APR 535 CE,COALINDIA28APR26C535,2026-04-28,1350,0.05
NFO,nse_fo,COALINDIA,35907,OPTSTK,PE,535,COAL INDIA LTD,COALINDIA APR 535 PE,COALINDIA28APR26P535,2026-04-28,1350,0.05
NFO,nse_fo,ASIANPAINT,35915,OPTSTK,CE,1720,ASIAN PAINTS LIMITED,ASIANPAINT APR 1720 CE,ASIANPAINT28APR26C1720,2026-04-28,250,0.05
NFO,nse_fo,ASIANPAINT,35916,OPTSTK,PE,1720,ASIAN PAINTS LIMITED,ASIANPAINT APR 1720 PE,ASIANPAINT28APR26P1720,2026-04-28,250,0.05
NFO,nse_fo,INDIANB,35924,OPTSTK,CE,1060,INDIAN BANK,INDIANB MAR 1060 CE,INDIANB30MAR26C1060,2026-03-30,1000,0.05
NFO,nse_fo,INDIANB,35925,OPTSTK,PE,1060,INDIAN BANK,INDIANB MAR 1060 PE,INDIANB30MAR26P1060,2026-03-30,1000,0.05
NFO,nse_fo,ASTRAL,35941,OPTSTK,CE,1960,ASTRAL LIMITED,ASTRAL APR 1960 CE,ASTRAL28APR26C1960,2026-04-28,425,0.05
NFO,nse_fo,ASTRAL,35950,OPTSTK,PE,1960,ASTRAL LIMITED,ASTRAL APR 1960 PE,ASTRAL28APR26P1960,2026-04-28,425,0.05
NFO,nse_fo,IOC,35956,OPTSTK,CE,202,INDIAN OIL CORP LTD,IOC MAR 202 CE,IOC30MAR26C202,2026-03-30,4875,0.01
NFO,nse_fo,IOC,35957,OPTSTK,PE,202,INDIAN OIL CORP LTD,IOC MAR 202 PE,IOC30MAR26P202,2026-03-30,4875,0.01
NFO,nse_fo,CUMMINSIND,35960,OPTSTK,CE,5350,CUMMINS INDIA LTD,CUMMINSIND MAR 5350 CE,CUMMINSIND30MAR26C5350,2026-03-30,200,0.05
NFO,nse_fo,CUMMINSIND,35961,OPTSTK,PE,5350,CUMMINS INDIA LTD,CUMMINSIND MAR 5350 PE,CUMMINSIND30MAR26P5350,2026-03-30,200,0.05
NFO,nse_fo,CUMMINSIND,35970,OPTSTK,CE,5500,CUMMINS INDIA LTD,CUMMINSIND APR 5500 CE,CUMMINSIND28APR26C5500,2026-04-28,200,0.05
NFO,nse_fo,CUMMINSIND,35971,OPTSTK,PE,5500,CUMMINS INDIA LTD,CUMMINSIND APR 5500 PE,CUMMINSIND28APR26P5500,2026-04-28,200,0.05
NFO,nse_fo,JINDALSTEL,35992,OPTSTK,CE,1340,JINDAL STEEL LIMITED,JINDALSTEL MAR 1340 CE,JINDALSTEL30MAR26C1340,2026-03-30,625,0.05
NFO,nse_fo,JINDALSTEL,35993,OPTSTK,PE,1340,JINDAL STEEL LIMITED,JINDALSTEL MAR 1340 PE,JINDALSTEL30MAR26P1340,2026-03-30,625,0.05
NFO,nse_fo,DALBHARAT,35998,OPTSTK,CE,1480,DALMIA BHARAT LIMITED,DALBHARAT APR 1480 CE,DALBHARAT28APR26C1480,2026-04-28,325,0.05
NFO,nse_fo,DALBHARAT,35999,OPTSTK,PE,1480,DALMIA BHARAT LIMITED,DALBHARAT APR 1480 PE,DALBHARAT28APR26P1480,2026-04-28,325,0.05
NFO,nse_fo,KEI,36042,OPTSTK,CE,5700,KEI INDUSTRIES LTD.,KEI MAR 5700 CE,KEI30MAR26C5700,2026-03-30,175,0.05
NFO,nse_fo,KEI,36043,OPTSTK,PE,5700,KEI INDUSTRIES LTD.,KEI MAR 5700 PE,KEI30MAR26P5700,2026-03-30,175,0.05
NFO,nse_fo,BAJFINANCE,36090,OPTSTK,CE,710,BAJAJ FINANCE LIMITED,BAJFINANCE MAR 710 CE,BAJFINANCE30MAR26C710,2026-03-30,750,0.05
NFO,nse_fo,BAJFINANCE,36091,OPTSTK,PE,710,BAJAJ FINANCE LIMITED,BAJFINANCE MAR 710 PE,BAJFINANCE30MAR26P710,2026-03-30,750,0.05
NFO,nse_fo,BAJFINANCE,36092,OPTSTK,CE,710,BAJAJ FINANCE LIMITED,BAJFINANCE APR 710 CE,BAJFINANCE28APR26C710,2026-04-28,750,0.05
NFO,nse_fo,BAJFINANCE,36093,OPTSTK,PE,710,BAJAJ FINANCE LIMITED,BAJFINANCE APR 710 PE,BAJFINANCE28APR26P710,2026-04-28,750,0.05
NFO,nse_fo,GAIL,36136,OPTSTK,CE,192,GAIL (INDIA) LTD,GAIL MAR 192 CE,GAIL30MAR26C192,2026-03-30,3150,0.01
NFO,nse_fo,GAIL,36137,OPTSTK,PE,192,GAIL (INDIA) LTD,GAIL MAR 192 PE,GAIL30MAR26P192,2026-03-30,3150,0.01
NFO,nse_fo,GAIL,36140,OPTSTK,CE,194,GAIL (INDIA) LTD,GAIL MAR 194 CE,GAIL30MAR26C194,2026-03-30,3150,0.01
NFO,nse_fo,GAIL,36141,OPTSTK,PE,194,GAIL (INDIA) LTD,GAIL MAR 194 PE,GAIL30MAR26P194,2026-03-30,3150,0.01
NFO,nse_fo,MCX,36158,OPTSTK,CE,2840,MULTI COMMODITY EXCHANGE,MCX MAR 2840 CE,MCX30MAR26C2840,2026-03-30,625,0.05
NFO,nse_fo,MCX,36159,OPTSTK,PE,2840,MULTI COMMODITY EXCHANGE,MCX MAR 2840 PE,MCX30MAR26P2840,2026-03-30,625,0.05
NFO,nse_fo,BANKINDIA,36167,OPTSTK,CE,130,BANK OF INDIA,BANKINDIA APR 130 CE,BANKINDIA28APR26C130,2026-04-28,5200,0.01
NFO,nse_fo,BANKINDIA,36170,OPTSTK,PE,130,BANK OF INDIA,BANKINDIA APR 130 PE,BANKINDIA28APR26P130,2026-04-28,5200,0.01
NFO,nse_fo,BDL,36197,OPTSTK,CE,1140,BHARAT DYNAMICS LIMITED,BDL MAR 1140 CE,BDL30MAR26C1140,2026-03-30,350,0.05
NFO,nse_fo,BDL,36198,OPTSTK,PE,1140,BHARAT DYNAMICS LIMITED,BDL MAR 1140 PE,BDL30MAR26P1140,2026-03-30,350,0.05
NFO,nse_fo,KOTAKBANK,36235,OPTSTK,CE,335,KOTAK MAHINDRA BANK LTD,KOTAKBANK MAY 335 CE,KOTAKBANK26MAY26C335,2026-05-26,2000,0.05
NFO,nse_fo,KOTAKBANK,36237,OPTSTK,PE,335,KOTAK MAHINDRA BANK LTD,KOTAKBANK MAY 335 PE,KOTAKBANK26MAY26P335,2026-05-26,2000,0.05
NFO,nse_fo,ONGC,36254,OPTSTK,CE,267.75,OIL AND NATURAL GAS CORP.,ONGC MAR 267.75 CE,ONGC30MAR26C267.75,2026-03-30,2250,0.05
NFO,nse_fo,ONGC,36255,OPTSTK,PE,267.75,OIL AND NATURAL GAS CORP.,ONGC MAR 267.75 PE,ONGC30MAR26P267.75,2026-03-30,2250,0.05
NFO,nse_fo,HINDZINC,36303,OPTSTK,CE,545,HINDUSTAN ZINC LIMITED,HINDZINC MAR 545 CE,HINDZINC30MAR26C545,2026-03-30,1225,0.05
NFO,nse_fo,HINDZINC,36304,OPTSTK,PE,545,HINDUSTAN ZINC LIMITED,HINDZINC MAR 545 PE,HINDZINC30MAR26P545,2026-03-30,1225,0.05
NFO,nse_fo,HINDZINC,36305,OPTSTK,CE,555,HINDUSTAN ZINC LIMITED,HINDZINC MAR 555 CE,HINDZINC30MAR26C555,2026-03-30,1225,0.05
NFO,nse_fo,HINDZINC,36306,OPTSTK,PE,555,HINDUSTAN ZINC LIMITED,HINDZINC MAR 555 PE,HINDZINC30MAR26P555,2026-03-30,1225,0.05
